Date,Open Price,Close Price,Action,Profit,Cumulative PnL,Daily Return,Cumulative Return
2023-08-19,1660.8443603515625,1669.471923828125,Buy,8.6275634765625,8.6275634765625,0.00086275634765625,0.00086275634765625
2023-08-20,1669.5877685546875,1684.85205078125,Buy,15.2642822265625,23.891845703125,0.00152642822265625,0.0023891845703125003
2023-08-21,1685.0223388671875,1667.26904296875,Buy,-17.7532958984375,6.1385498046875,-0.00177532958984375,0.0006138549804687503
2023-08-22,1667.279296875,1633.892578125,Hold,0.0,6.1385498046875,0.0,0.0006138549804687503
2023-08-23,1634.4017333984375,1679.2744140625,Buy,44.8726806640625,51.01123046875,0.00448726806640625,0.005101123046875
2023-08-24,1679.248291015625,1659.944580078125,Hold,0.0,51.01123046875,0.0,0.005101123046875
2023-08-25,1660.2698974609375,1652.93505859375,Hold,0.0,51.01123046875,0.0,0.005101123046875
2023-08-26,1652.92724609375,1646.3067626953125,Buy,-6.6204833984375,44.3907470703125,-0.00066204833984375,0.004439074707031251
2023-08-27,1646.27197265625,1657.5130615234375,Buy,11.2410888671875,55.6318359375,0.00112410888671875,0.005563183593750001
2023-08-28,1657.4398193359375,1652.4573974609375,Hold,0.0,55.6318359375,0.0,0.005563183593750001
2023-08-29,1652.274169921875,1729.7257080078125,Buy,77.4515380859375,133.0833740234375,0.00774515380859375,0.013308337402343752
2023-08-30,1729.6766357421875,1705.1121826171875,Hold,0.0,133.0833740234375,0.0,0.013308337402343752
2023-08-31,1705.364501953125,1645.63916015625,Hold,0.0,133.0833740234375,0.0,0.013308337402343752
2023-09-01,1645.581298828125,1628.4912109375,Hold,0.0,133.0833740234375,0.0,0.013308337402343752
2023-09-02,1628.5596923828125,1637.025390625,Buy,8.4656982421875,141.549072265625,0.00084656982421875,0.014154907226562503
2023-09-03,1637.0435791015625,1636.11767578125,Hold,0.0,141.549072265625,0.0,0.014154907226562503
2023-09-04,1635.7247314453125,1629.6552734375,Hold,0.0,141.549072265625,0.0,0.014154907226562503
2023-09-05,1629.9110107421875,1633.62939453125,Buy,3.7183837890625,145.2674560546875,0.00037183837890625,0.014526745605468752
2023-09-06,1633.912109375,1632.2523193359375,Hold,0.0,145.2674560546875,0.0,0.014526745605468752
2023-09-07,1632.2628173828125,1647.5982666015625,Hold,0.0,145.2674560546875,0.0,0.014526745605468752
2023-09-08,1647.8076171875,1636.1378173828125,Hold,0.0,145.2674560546875,0.0,0.014526745605468752
2023-09-09,1636.0504150390625,1635.162353515625,Buy,-0.8880615234375,144.37939453125,-8.880615234375e-05,0.014437939453125001
2023-09-10,1635.211669921875,1616.828857421875,Hold,0.0,144.37939453125,0.0,0.014437939453125001
2023-09-11,1616.769775390625,1551.6376953125,Hold,0.0,144.37939453125,0.0,0.014437939453125001
2023-09-12,1551.497802734375,1592.429443359375,Buy,40.931640625,185.31103515625,0.0040931640625,0.018531103515625
2023-09-13,1592.892333984375,1607.988525390625,Buy,15.09619140625,200.4072265625,0.001509619140625,0.020040722656250003
2023-09-14,1608.0316162109375,1626.974365234375,Buy,18.9427490234375,219.3499755859375,0.00189427490234375,0.021934997558593752
